                                   name  last-ACC           BWT  lACC-per(100%KD)  lACC-rel_per  BWT-per(100%KD)  BWT-rel_per
deterministic_m:0.5_S:ten_to_ten_dp:0.8    0.6659  5.200000e-03        109.020956     26.139410     1.181818e+02   100.742574
     deterministic_m:1.0_S:cycle_dp:0.4    0.6639 -7.333333e-03        108.693517     28.820375    -1.666667e+02    89.108911
 deterministic_m:1.5_S:first_end_dp:0.4    0.6637 -2.666667e-02        108.660773     29.088472    -6.060606e+02    71.163366
     deterministic_m:1.0_S:first_dp:0.6    0.6634 -2.600000e-02        108.611657     29.490617    -5.909091e+02    71.782178
     deterministic_m:0.5_S:cycle_dp:0.8    0.6634  1.333333e-03        108.611657     29.490617     3.030303e+01    97.153465
 deterministic_m:2.0_S:first_end_dp:0.2    0.6615 -3.746667e-02        108.300589     32.037534    -8.515152e+02    61.138614
     deterministic_m:2.0_S:first_dp:0.2    0.6615 -4.440000e-02        108.300589     32.037534    -1.009091e+03    54.702970
 deterministic_m:1.5_S:first_end_dp:0.2    0.6604 -5.373333e-02        108.120498     33.512064    -1.221212e+03    46.039604
deterministic_m:1.5_S:ten_to_ten_dp:0.4    0.6592 -4.000000e-02        107.924034     35.120643    -9.090909e+02    58.787129
     deterministic_m:1.5_S:first_dp:0.2    0.6589 -5.680000e-02        107.874918     35.522788    -1.290909e+03    43.193069
deterministic_m:1.5_S:ten_to_ten_dp:0.2    0.6586 -6.186667e-02        107.825802     35.924933    -1.406061e+03    38.490099
deterministic_m:1.0_S:ten_to_ten_dp:0.6    0.6572 -1.920000e-02        107.596595     37.801609    -4.363636e+02    78.094059
     deterministic_m:1.5_S:first_dp:0.4    0.6571 -3.520000e-02        107.580223     37.935657    -8.000000e+02    63.242574
 deterministic_m:1.5_S:first_end_dp:0.6    0.6570 -2.880000e-02        107.563851     38.069705    -6.545455e+02    69.183168
     deterministic_m:1.0_S:first_dp:0.8    0.6527 -1.880000e-02        106.859856     43.833780    -4.272727e+02    78.465347
     deterministic_m:2.0_S:cycle_dp:0.2    0.6514 -1.760000e-02        106.647020     45.576408    -4.000000e+02    79.579208
 deterministic_m:1.0_S:first_end_dp:0.6    0.6510 -3.586667e-02        106.581532     46.112601    -8.151515e+02    62.623762
     deterministic_m:2.0_S:first_dp:0.4    0.6491 -4.693333e-02        106.270465     48.659517    -1.066667e+03    52.351485
 deterministic_m:2.0_S:first_end_dp:0.8    0.6486  2.066667e-02        106.188605     49.329759     4.696970e+02   115.099010
       deterministic_m:1.0_S:mid_dp:0.8    0.6467 -4.653333e-02        105.877538     51.876676    -1.057576e+03    52.722772
deterministic_m:2.0_S:ten_to_ten_dp:0.4    0.6463 -3.360000e-02        105.812050     52.412869    -7.636364e+02    64.727723
 deterministic_m:2.0_S:first_end_dp:0.6    0.6461 -3.746667e-02        105.779306     52.680965    -8.515152e+02    61.138614
 deterministic_m:1.0_S:first_end_dp:0.8    0.6413 -1.440000e-02        104.993451     59.115282    -3.272727e+02    82.549505
     deterministic_m:1.0_S:cycle_dp:0.6    0.6407  3.700743e-17        104.895219     59.919571     8.410780e-13    95.915842
       deterministic_m:2.0_S:mid_dp:0.8    0.6398 -6.160000e-02        104.747872     61.126005    -1.400000e+03    38.737624
       deterministic_m:0.5_S:all_dp:1.0    0.6393 -4.000000e-04        104.666012     61.796247    -9.090909e+00    95.544554
       deterministic_m:1.5_S:mid_dp:0.8    0.6389 -4.413333e-02        104.600524     62.332440    -1.003030e+03    54.950495
 deterministic_m:2.0_S:first_end_dp:0.4    0.6388 -2.346667e-02        104.584152     62.466488    -5.333333e+02    74.133663
       deterministic_m:1.0_S:end_dp:0.8    0.6377 -4.306667e-02        104.404060     63.941019    -9.787879e+02    55.940594
     deterministic_m:1.5_S:first_dp:0.6    0.6354 -3.893333e-02        104.027505     67.024129    -8.848485e+02    59.777228
     deterministic_m:2.0_S:first_dp:0.6    0.6349 -2.773333e-02        103.945645     67.694370    -6.303030e+02    70.173267
       deterministic_m:1.5_S:end_dp:0.8    0.6331 -5.466667e-02        103.650950     70.107239    -1.242424e+03    45.173267
