                                   name  last-ACC       BWT  lACC-per(100%KD)  lACC-rel_per  BWT-per(100%KD)  BWT-rel_per
       deterministic_m:2.0_S:end_dp:0.2    0.6927 -0.129867        115.430762    -12.242424       832.478632     4.459309
 deterministic_m:2.0_S:first_end_dp:0.8    0.6925 -0.059333        115.397434    -12.000000       380.341880    63.433668
deterministic_m:1.5_S:ten_to_ten_dp:0.6    0.6921 -0.029733        115.330778    -11.515152       190.598291    88.182832
     deterministic_m:1.5_S:first_dp:0.4    0.6919 -0.084667        115.297450    -11.272727       542.735043    42.251951
       deterministic_m:0.5_S:end_dp:0.2    0.6905 -0.118400        115.064156     -9.575758       758.974359    14.046823
 deterministic_m:1.5_S:first_end_dp:0.6    0.6893 -0.093867        114.864189     -8.121212       601.709402    34.559643
 deterministic_m:2.0_S:first_end_dp:0.6    0.6892 -0.090800        114.847525     -8.000000       582.051282    37.123746
       deterministic_m:0.5_S:end_dp:0.4    0.6882 -0.121467        114.680887     -6.787879       778.632479    11.482720
 deterministic_m:1.0_S:first_end_dp:0.6    0.6881 -0.090533        114.664223     -6.666667       580.341880    37.346711
     deterministic_m:1.0_S:first_dp:0.6    0.6858 -0.077333        114.280953     -3.878788       495.726496    48.383501
       deterministic_m:0.5_S:mid_dp:0.8    0.6853 -0.096133        114.197634     -3.272727       616.239316    32.664437
     deterministic_m:1.5_S:first_dp:0.2    0.6851 -0.106800        114.164306     -3.030303       684.615385    23.745819
deterministic_m:2.0_S:ten_to_ten_dp:0.6    0.6849 -0.025733        114.130978     -2.787879       164.957265    91.527313
 deterministic_m:1.5_S:first_end_dp:0.4    0.6840 -0.105867        113.981003     -1.696970       678.632479    24.526198
      deterministic_m:1.0_S:none_dp:1.0    0.6826 -0.135200        113.747709     -0.000000       866.666667     0.000000
 deterministic_m:0.5_S:first_end_dp:0.8    0.6823 -0.090133        113.697717      0.363636       577.777778    37.681159
       deterministic_m:1.0_S:end_dp:0.4    0.6805 -0.136133        113.397767      2.545455       872.649573    -0.780379
       deterministic_m:1.5_S:end_dp:0.4    0.6805 -0.136133        113.397767      2.545455       872.649573    -0.780379
       deterministic_m:2.0_S:end_dp:0.4    0.6805 -0.136133        113.397767      2.545455       872.649573    -0.780379
